GAIA_Source_ID,RA_deg,DEC_deg,Jmag
3052403123776762624,104.937852,-7.864374,16.575000762939453
3052403128081027712,104.935065,-7.866426,15.444000244140625
3052403467374158464,104.971212,-7.854789,16.569000244140625
3052403471678399872,104.974031,-7.850385,15.282999992370605
3052403501733891968,104.959885,-7.858684,16.63599967956543
3052403506038143488,104.950291,-7.856319,15.449000358581543
3052403506038144256,104.953049,-7.861385,15.805999755859375
3052403536094559872,104.966069,-7.846627,17.023000717163086
3052403540397878656,104.959799,-7.848749,13.583000183105469
3052403540397878784,104.960688,-7.850164,14.39799976348877
3052403574757613568,104.976769,-7.846512,14.864999771118164
3052403639172861696,104.968269,-7.842308,15.154999732971191
3052403639172873216,104.97563,-7.831453,17.06999969482422
3052403673532614272,104.992396,-7.829038,16.257999420166016
3052403673532614912,104.975975,-7.828636,16.586999893188477
3052403677836822656,104.987147,-7.829821,13.326000213623047
3052403677836825344,104.981835,-7.834318,15.406000137329102
3052403677836825600,104.985311,-7.837211,16.33799934387207
3052403845331265664,104.927699,-7.866266,16.72800064086914
3052403849635537280,104.924861,-7.868127,14.840999603271484
3052403849635537920,104.922928,-7.86773,16.701000213623047
3052403883995267968,104.930699,-7.850838,14.428000450134277
3052403883995270272,104.925627,-7.854158,15.083000183105469
3052403918355013632,104.912024,-7.857352,10.0600004196167
3052403948410503808,104.915655,-7.845407,15.883999824523926
3052403952706107264,104.918186,-7.848114,16.364999771118164
3052403952714746752,104.92167,-7.850781,13.847000122070312
3052403952714748416,104.9207,-7.854383,14.097999572753906
3052404017129969408,104.884562,-7.856907,15.824000358581543
3052404021434235904,104.881809,-7.853516,14.642000198364258
3052404085849459072,104.878671,-7.843333,16.75200080871582
3052404090153712128,104.878612,-7.849864,15.463000297546387
3052404090153716096,104.871818,-7.850811,12.14799976348877
3052404120209192192,104.902917,-7.849601,15.699000358581543
3052404154569858176,104.907594,-7.830597,15.729000091552734
3052404158874313472,104.903759,-7.836207,16.238000869750977
3052404193232918528,104.894937,-7.839772,14.54800033569336
3052404193232919936,104.883846,-7.833678,13.496000289916992
3052404223288422400,104.894795,-7.833975,16.184999465942383
3052404223288423552,104.891927,-7.833776,15.095000267028809
3052404223288428416,104.900987,-7.829041,15.442000389099121
3052404223288428928,104.905768,-7.828082,15.876999855041504
3052404227592655104,104.898518,-7.836863,14.329999923706055
3052404257648148480,104.932867,-7.846711,15.833999633789062
3052404257649473152,104.946887,-7.852181,16.952999114990234
3052404261952389248,104.933955,-7.850249,15.416000366210938
3052404296312120576,104.957109,-7.836938,14.463000297546387
3052404326367631232,104.925107,-7.840132,16.57699966430664
3052404326368546304,104.938496,-7.839441,16.301000595092773
3052404330671863808,104.925002,-7.835151,15.78499984741211
