Group,N_Targets,RA_center,DEC_center
1,1,314.77148250000005,44.305451
2,1,314.77148250000005,44.305451
3,2,314.77148250000005,44.305451
4,6,314.77148250000005,44.305451
5,6,314.77148250000005,44.305451
6,6,314.77148250000005,44.305451
7,8,314.77148250000005,44.305451
8,2,314.74633900000003,44.2974855
9,7,314.77148250000005,44.305451
10,1,314.77148250000005,44.305451
11,2,314.77148250000005,44.305451
12,5,314.7661066,44.31051480000001
13,3,314.77148250000005,44.305451
