GAIA_Source_ID,RA_deg,DEC_deg,Jmag
2162235421864872064,314.757503,44.259458,16.242000579833984
2162235589353158912,314.694676,44.255513,15.506999969482422
2162235593663576960,314.684948,44.249741,14.449000358581543
2162235593663578880,314.688347,44.259418,12.939000129699707
2162235628023316224,314.699403,44.265637,14.928000450134277
2162235662383047040,314.723874,44.257868,8.048999786376953
2162235726791704960,314.704618,44.27116,14.984999656677246
2162235726793788928,314.708151,44.284796,13.744999885559082
2162235761155771136,314.72162,44.287775,13.081999778747559
2162235761155772672,314.724718,44.291601,14.659000396728516
2162236895027131264,314.764426,44.268083,15.869999885559082
2162236963746342272,314.765549,44.277382,14.770000457763672
2162236968053099776,314.75961,44.267726,14.562000274658203
2162236998106084992,314.763229,44.290841,14.104999542236328
2162236998107135488,314.772211,44.281675,15.723999977111816
2162237002404358656,314.772722,44.283998,14.619000434875488
2162237032463843200,314.785665,44.282854,13.954000473022461
2162237036772575744,314.788968,44.287917,14.541999816894531
2162237036772577280,314.785113,44.292585,13.767999649047852
2162237066825562112,314.799479,44.292826,13.218999862670898
2162237105492054784,314.78927,44.29807,13.427000045776367
2162237135543095936,314.790863,44.303918,14.95300006866455
2162237135543099648,314.795685,44.305724,14.28600025177002
2162237135545045120,314.79907,44.309058,13.564000129699707
2162237174211535360,314.745637,44.27721,14.402000427246094
2162237208571277568,314.752097,44.299856,7.672999858856201
2162237238624258560,314.727326,44.305178,15.928000450134277
2162237307341801344,314.766137,44.309794,14.8100004196167
2162237307341813248,314.771066,44.315635,14.279000282287598
2162237311650493312,314.763839,44.31147,13.612000465393066
2162237311650493440,314.768028,44.315581,12.767000198364258
2162237346010229376,314.784614,44.31959,13.765000343322754
2162237346010233984,314.774904,44.32927,14.196999549865723
2162237346010234368,314.775593,44.331129,13.428000450134277
2162237380369975168,314.762139,44.330715,13.5600004196167
2162237410421068672,314.764988,44.332959,14.946000099182129
2162237410421069696,314.771899,44.333492,15.065999984741211
2162237414721257216,314.768646,44.339808,15.682999610900879
2162237414729713664,314.772167,44.339764,15.093000411987305
2162237444780764672,314.809557,44.315115,15.3149995803833
2162237513500263296,314.800273,44.324765,15.17300033569336
2162237517808917120,314.801889,44.316636,12.888999938964844
2162237517808917504,314.810876,44.327594,11.902999877929688
2162237754018485248,314.80773,44.34523,14.414999961853027
2162237758327090048,314.807998,44.342844,14.758999824523926
2162237788378265600,314.779653,44.357808,13.836999893188477
2162237792686836096,314.781529,44.350466,11.805999755859375
2162237792686836608,314.782828,44.352406,12.982999801635742
2162237792686839680,314.769556,44.349827,14.704000473022461
2162237822738010880,314.785443,44.360463,15.291000366210938
